,x,y,label
0,3.4555478,-7.8844852,1
1,-2.6339657,13.034044,1
2,-9.57327,-10.5689945,1
3,-5.286326,-13.483383,1
4,-24.932419,2.789703,1
5,-15.345419,-0.77221817,1
6,-8.510746,6.4683347,1
7,-8.65961,-12.744938,1
8,16.9023,-6.275355,1
9,6.360081,-5.935994,0
10,10.597806,-2.3554106,0
11,-7.9788647,-0.0005780937,1
12,-6.646652,-3.4551826,1
13,12.803864,4.1511383,1
14,4.3371806,2.1818686,0
15,-7.969159,-12.78274,1
16,-22.840439,0.38952124,1
17,-9.920575,-5.525142,1
18,-14.688524,-0.002912424,1
19,-0.38405764,0.64206886,1
20,-2.6320384,-0.12727718,1
21,1.6905203,4.7447424,1
22,-9.929169,7.5488505,1
23,1.7564712,-4.235199,1
24,-0.76303786,7.537036,1
25,14.038567,2.3596718,1
26,2.7064161,9.142663,1
27,12.432443,-8.53864,1
28,-1.5509343,-7.8671556,1
29,-14.843869,-6.02674,1
30,13.388842,-2.3695748,0
31,-12.027484,-4.9227624,1
32,10.992876,1.3979535,0
33,-16.766708,5.243473,1
34,5.880101,6.2253633,1
35,3.8578913,0.25133362,0
36,-1.2573081,-11.887961,1
37,1.6957189,-10.091802,1
38,-11.070346,1.7995412,1
39,13.009941,7.2071543,1
40,-9.281575,-0.32275674,1
41,7.861746,-1.7238361,0
42,5.1254835,3.837823,0
43,-2.1064,-6.515759,1
44,5.874878,12.149454,1
45,0.41564512,-1.9793236,1
46,-4.498965,0.29168507,1
47,3.935014,-2.0867326,0
48,1.2612183,-8.765943,0
49,-2.9881995,-4.966702,1
50,13.594456,5.0417967,1
51,-9.479069,-0.5046794,1
52,-21.099096,3.928649,1
53,-18.611748,0.5255997,1
54,-10.093838,2.6402175,1
55,5.9716706,-0.17592324,0
56,-9.677119,9.74221,1
57,11.121659,0.5943149,0
58,-23.537354,4.642338,1
59,6.1228247,-0.28316838,0
60,12.960044,3.5452547,0
61,-5.14324,4.578493,1
62,4.6647463,0.5698465,0
63,5.8579493,-7.0563064,1
64,4.6661425,0.1837399,0
65,-21.824167,1.821815,1
66,-22.333569,-1.5945029,1
67,11.453414,3.3408403,0
68,1.9314218,10.71066,1
69,6.8644357,4.686179,0
70,8.815443,-0.8414453,0
71,5.054751,-3.0920954,0
72,-24.009058,-1.0407941,1
73,-20.213142,4.3645706,1
74,-4.4041743,-9.195264,1
75,-4.961906,-7.4773846,1
76,16.03067,2.377373,1
77,-9.946952,1.2182165,1
78,0.53470075,-6.347587,0
79,-13.921458,0.8302141,1
80,6.726695,6.0487447,0
81,-12.727662,-5.568945,1
82,10.032993,2.0478907,0
83,-4.2909513,11.236523,1
84,-1.1766948,-14.125625,1
85,-14.841647,7.1430764,1
86,4.7750807,4.1322556,0
87,-4.1035423,6.8758154,1
88,-9.926437,1.4139899,1
89,12.725744,2.2684557,0
90,8.715947,2.9882927,0
91,-6.351014,11.181832,1
92,6.3303337,1.2807516,0
93,-3.9320624,13.674321,1
94,2.6450238,-7.608312,1
95,-0.16026366,-8.65904,1
96,-3.3158646,4.115013,1
97,-7.855255,-4.227221,1
98,-24.80288,0.45736837,1
99,0.40493393,-12.263888,1
100,12.643176,-2.6123497,0
101,4.5589833,-0.8821185,0
102,11.291296,2.38184,0
103,6.5091414,8.68581,1
104,-3.2974215,-5.462733,1
105,-0.34572434,-10.484824,1
106,1.9737432,-9.752968,0
107,4.664307,9.83436,1
108,-3.357936,-2.2310483,1
109,1.0046089,-7.5678396,1
110,-8.174091,-3.0009222,1
111,7.38989,7.6193037,1
112,3.4583962,11.631485,1
113,-21.697338,5.113597,1
114,12.089619,6.974919,1
115,-4.6281514,5.037823,1
116,-13.399171,2.3061996,1
117,6.462858,-0.9073464,0
118,-13.052343,3.0069122,1
119,-1.5315801,-10.487913,1
120,-22.265295,3.0166624,1
121,-16.7326,4.089928,1
122,-9.721282,2.8920727,1
123,9.794578,3.1245704,0
124,-17.90986,-3.0278296,1
125,3.2452943,0.9071921,0
126,-21.226376,-1.8302999,1
127,-2.2317135,-3.154106,1
128,-9.835731,-0.6034762,1
129,3.9377725,10.861269,1
130,-22.489346,3.6737654,1
131,-6.106266,8.541421,1
132,1.7255113,2.6495929,1
133,-23.380033,4.5018654,1
134,10.481762,3.8094542,0
135,-4.5403757,-10.342472,1
136,-12.462183,6.33416,1
137,13.231709,0.61724246,1
138,-6.6391654,-8.157668,1
139,-11.884815,3.108797,1
140,8.687792,8.46197,1
141,-6.912027,0.9222587,1
142,5.459122,3.611492,0
143,-5.712936,-4.949797,1
144,-21.299982,0.6887306,1
145,-23.611265,0.7386459,1
146,-16.417719,0.9972672,1
147,-20.867268,1.2267219,1
148,-12.012218,4.8301435,1
149,-21.767824,2.2992616,1
150,7.7569556,-0.37662378,0
151,5.4762444,-3.7975075,0
152,-22.514137,1.3345737,1
153,11.523801,0.22785091,0
154,2.2798433,2.1402535,0
155,-5.5014515,-11.381992,1
156,-16.927887,2.1268244,1
157,-17.800661,2.2408469,1
158,3.5234573,2.6661355,0
159,6.3327575,2.1878045,0
160,-9.814835,-11.602542,1
161,9.045238,4.675933,0
162,13.296784,-6.657995,1
163,-13.066447,-0.54219925,1
164,-6.4485326,-4.589388,1
165,7.0909123,-8.010337,1
166,-20.05444,-0.8282908,1
167,-0.5794076,-1.9463769,1
168,-6.9374604,-4.246696,1
169,8.530915,8.756662,1
170,-15.088332,5.322965,1
171,-1.8110383,-4.4854608,1
172,3.3205287,3.2483296,0
173,-11.060441,3.6402855,1
174,7.089488,-1.8206943,0
175,-4.1776533,-3.4678466,1
176,-6.7787037,-8.130712,1
177,4.373133,2.079864,1
178,-23.350449,3.307811,1
179,6.462788,7.966636,0
180,15.243838,1.7430192,1
181,0.34941614,2.3480887,0
182,-3.9547606,-11.445674,1
183,3.5434346,-8.719133,1
184,-3.7047057,-8.472496,1
185,-10.259834,11.082632,1
186,3.3171968,5.8436937,1
187,-7.2297935,-7.621805,1
188,6.5114937,-4.272309,0
189,-20.690409,3.5248315,1
190,3.5212452,-7.2003994,0
191,13.017578,6.2947197,0
192,3.5762038,-1.8495178,0
193,-2.6055245,4.308964,1
194,-4.064358,-11.642975,1
195,13.533973,-8.699634,1
196,-0.048051663,-10.516244,1
197,-10.192799,7.8406696,1
198,9.965998,-0.54055595,0
199,5.1143456,9.116928,1
200,1.1710981,-13.526402,1
201,3.5806758,1.9686629,0
202,-11.415924,0.37494725,1
203,6.745957,-1.4070506,0
204,-3.1464255,-3.9862342,1
205,-6.3433647,3.3872852,1
206,1.4193081,-10.290019,1
207,-11.878193,7.8593907,1
208,-6.6347985,1.0173491,1
209,-20.468987,3.3689454,1
210,-18.749842,3.4708197,1
211,5.4180527,-11.110277,1
212,-0.20340487,2.848538,0
213,7.7568974,-3.1147985,0
214,-18.337065,5.833521,1
215,4.0455947,2.535767,0
216,2.1095817,0.5856172,0
217,3.1007755,-1.1884607,0
218,6.5413957,-1.7080077,0
219,-13.7239485,-7.998957,1
220,-0.8888131,-8.105492,1
221,2.3725924,-2.021343,0
222,-0.23526382,-8.2733345,0
223,8.205408,-0.77310234,0
224,-4.1620245,1.3828434,1
225,-7.515219,8.440338,1
226,-6.8888407,0.9738549,1
227,7.294389,-7.065063,1
228,-8.762507,-4.1085925,1
229,5.842483,5.2528734,0
230,-16.991377,2.2773683,1
231,12.647866,-5.9039736,0
232,-15.5477495,0.8194808,1
233,-7.116422,4.436831,1
234,3.6303995,-11.020311,1
235,1.1680702,-0.79629904,0
236,-4.2491612,7.1528945,1
237,-21.037851,-0.554346,1
238,-5.318364,13.038366,1
239,6.3023963,1.0269344,0
240,-4.0955663,-6.6033916,1
241,11.071019,2.6507506,0
242,12.279875,2.84505,0
243,-16.747534,4.712781,1
244,0.7569254,2.7562187,0
245,-4.3218303,9.137562,1
246,-0.100722045,-10.334545,1
247,-4.668657,-2.0091245,1
248,-0.021941137,-0.71384203,0
249,-11.330122,4.6876273,1
250,0.3301541,-5.1654997,1
251,0.5970807,-6.661661,0
252,-2.7215843,-1.4150609,1
253,7.4073367,0.44890037,0
254,-2.21188,-8.196247,1
255,-5.7198114,9.361807,1
256,-6.5066147,1.5715729,1
257,-4.3740034,11.090768,1
258,-5.5908127,8.852594,1
259,2.0852501,-0.5268509,1
260,-0.42175943,0.5184395,1
261,-0.32815158,9.264656,1
262,1.6215177,-6.3251867,1
263,16.061846,2.9409535,1
264,11.2527895,-3.723913,1
265,-6.1061034,5.595773,1
266,14.347274,-3.3007088,0
267,-2.6390634,2.714433,1
268,13.131551,5.085581,1
269,-7.922188,-10.835917,1
270,14.060743,-2.1435907,1
271,-4.076617,-6.9781003,1
272,6.311581,-7.014223,1
273,9.635111,3.5832648,0
274,6.6621256,10.894057,1
275,-5.8831863,-6.1908107,1
276,0.8784809,7.055419,1
277,-21.782429,4.4622493,1
278,9.496233,-1.220414,1
279,3.349075,13.032371,1
280,4.010993,6.2932014,0
281,11.266614,-6.254464,1
282,-23.128733,-1.1368384,1
283,-17.009466,-3.6596618,1
284,-11.303972,-8.418258,1
285,-1.3268106,-0.9105945,1
286,-2.266449,-5.6810064,1
287,3.7637854,4.28186,0
288,7.647847,4.6757383,0
289,-3.566203,-6.9373436,1
290,-9.083955,-2.2303019,1
291,-2.3228035,-7.08689,1
292,17.111,0.18572669,1
293,-6.1491175,-11.058812,1
294,8.165284,-4.586965,1
295,-3.3566885,-2.3656955,1
296,-4.231035,-11.852773,1
297,12.249695,5.440921,1
298,6.4546976,-2.4468305,0
299,-7.0070825,12.187743,1
300,9.062593,9.647402,1
301,-6.8576236,-9.270556,1
302,-1.1235254,-14.149562,1
303,-21.130175,1.4627367,1
304,-14.273387,1.4232991,1
305,-4.9706173,1.3113523,1
306,-11.486474,-9.009676,1
307,11.2238,5.8610826,0
308,1.2244191,-3.4787955,1
309,-16.030907,-1.3678081,1
310,-4.2497435,1.6057935,0
311,-16.134539,0.81424344,1
312,1.2017192,-11.21782,1
313,12.191432,9.058005,1
314,4.5742264,10.010676,1
315,3.3414352,-3.7600167,0
316,17.77848,-2.7916684,1
317,-5.8521433,-10.690712,1
318,9.362965,-0.06367201,0
319,2.860502,-4.7831435,0
320,-8.384689,-7.5685534,1
321,6.235043,3.5575085,0
322,10.836756,-1.3489128,0
323,1.2618892,1.5428934,0
324,1.1848053,-5.246316,0
325,-11.140824,-8.507457,1
